block,label,type,width_m,length_m,parent_plot_id
1,b1_p1,main plot,12.192,97.536,
1,b1_p2,main plot,12.192,97.536,
1,b1_p3,main plot,12.192,97.536,
2,b2_p1,main plot,12.192,97.536,
2,b2_p2,main plot,12.192,97.536,
2,b2_p3,main plot,12.192,97.536,
3,b3_p1,main plot,12.192,97.536,
3,b3_p2,main plot,12.192,97.536,
3,b3_p3,main plot,12.192,97.536,
1,b1_p1.1,split plot,12.192,36.576,12.19
1,b1_p1.2,split plot,12.192,36.576,12.19
1,b1_p2.1,split plot,12.192,36.576,12.19
1,b1_p2.2,split plot,12.192,36.576,12.19
1,b1_p3.1,split plot,12.192,36.576,12.19
1,b1_p3.2,split plot,12.192,36.576,12.19
2,b2_p1.1,split plot,12.192,36.576,12.19
2,b2_p1.2,split plot,12.192,36.576,12.19
2,b2_p2.1,split plot,12.192,36.576,12.19
2,b2_p2.2,split plot,12.192,36.576,12.19
2,b2_p3.1,split plot,12.192,36.576,12.19
2,b2_p3.2,split plot,12.192,36.576,12.19
3,b3_p1.1,split plot,12.192,36.576,12.19
3,b3_p1.2,split plot,12.192,36.576,12.19
3,b3_p2.1,split plot,12.192,36.576,12.19
3,b3_p2.2,split plot,12.192,36.576,12.19
3,b3_p3.1,split plot,12.192,36.576,12.19
3,b3_p3.2,split plot,12.192,36.576,12.19
1,b1_p1.1.1,split split plot,12.192,12.192,12.192
1,b1_p1.1.2,split split plot,12.192,12.192,12.192
1,b1_p1.1.3,split split plot,12.192,12.192,12.192
1,b1_p1.2.1,split split plot,12.192,12.192,12.192
1,b1_p1.2.2,split split plot,12.192,12.192,12.192
1,b1_p1.2.3,split split plot,12.192,12.192,12.192
1,b1_p2.1.1,split split plot,12.192,12.192,12.192
1,b1_p2.1.2,split split plot,12.192,12.192,12.192
1,b1_p2.1.3,split split plot,12.192,12.192,12.192
1,b1_p2.2.1,split split plot,12.192,12.192,12.192
1,b1_p2.2.2,split split plot,12.192,12.192,12.192
1,b1_p2.2.3,split split plot,12.192,12.192,12.192
1,b1_p3.1.1,split split plot,12.192,12.192,12.192
1,b1_p3.1.2,split split plot,12.192,12.192,12.192
1,b1_p3.1.3,split split plot,12.192,12.192,12.192
1,b1_p3.2.1,split split plot,12.192,12.192,12.192
1,b1_p3.2.2,split split plot,12.192,12.192,12.192
1,b1_p3.2.3,split split plot,12.192,12.192,12.192
2,b2_p1.1.1,split split plot,12.192,12.192,12.192
2,b2_p1.1.2,split split plot,12.192,12.192,12.192
2,b2_p1.1.3,split split plot,12.192,12.192,12.192
2,b2_p1.2.1,split split plot,12.192,12.192,12.192
2,b2_p1.2.2,split split plot,12.192,12.192,12.192
2,b2_p1.2.3,split split plot,12.192,12.192,12.192
2,b2_p2.1.1,split split plot,12.192,12.192,12.192
2,b2_p2.1.2,split split plot,12.192,12.192,12.192
2,b2_p2.1.3,split split plot,12.192,12.192,12.192
2,b2_p2.2.1,split split plot,12.192,12.192,12.192
2,b2_p2.2.2,split split plot,12.192,12.192,12.192
2,b2_p2.2.3,split split plot,12.192,12.192,12.192
2,b2_p3.1.1,split split plot,12.192,12.192,12.192
2,b2_p3.1.2,split split plot,12.192,12.192,12.192
2,b2_p3.1.3,split split plot,12.192,12.192,12.192
2,b2_p3.2.1,split split plot,12.192,12.192,12.192
2,b2_p3.2.2,split split plot,12.192,12.192,12.192
2,b2_p3.2.3,split split plot,12.192,12.192,12.192
3,b3_p1.1.1,split split plot,12.192,12.192,12.192
3,b3_p1.1.2,split split plot,12.192,12.192,12.192
3,b3_p1.1.3,split split plot,12.192,12.192,12.192
3,b3_p1.2.1,split split plot,12.192,12.192,12.192
3,b3_p1.2.2,split split plot,12.192,12.192,12.192
3,b3_p1.2.3,split split plot,12.192,12.192,12.192
3,b3_p2.1.1,split split plot,12.192,12.192,12.192
3,b3_p2.1.2,split split plot,12.192,12.192,12.192
3,b3_p2.1.3,split split plot,12.192,12.192,12.192
3,b3_p2.2.1,split split plot,12.192,12.192,12.192
3,b3_p2.2.2,split split plot,12.192,12.192,12.192
3,b3_p2.2.3,split split plot,12.192,12.192,12.192
3,b3_p3.1.1,split split plot,12.192,12.192,12.192
3,b3_p3.1.2,split split plot,12.192,12.192,12.192
3,b3_p3.1.3,split split plot,12.192,12.192,12.192
3,b3_p3.2.1,split split plot,12.192,12.192,12.192
3,b3_p3.2.2,split split plot,12.192,12.192,12.192
3,b3_p3.2.3,split split plot,12.192,12.192,12.192
